id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22125784,Home in Newark · ★4.38 · 1 bedroom · 1 bed · 2 shared baths,120596934,Patrick,,South,40.71031,-74.20156,Private room,40,1,69,2023-12-28,0.94,4,361,12,
22148204,Home in Newark · ★4.43 · 1 bedroom · 1 bed · 2 shared baths,120596934,Patrick,,South,40.70931,-74.20148,Private room,40,1,56,2023-11-15,0.76,4,306,2,
22610893,Rental unit in Newark · ★4.60 · 1 bedroom · 1 bed · 1 bath,24815236,Mario,,West,40.7408,-74.22709,Entire home/apt,1070,7,25,2023-11-20,0.37,27,359,8,
23945240,Rental unit in Newark · ★4.90 · 3 bedrooms · 5 beds · 2 baths,180030556,Ana,,East,40.72325,-74.17017,Entire home/apt,172,2,345,2023-12-22,4.94,2,343,38,
24182999,Rental unit in Newark · ★4.97 · 3 bedrooms · 3 beds · 1 bath,174276168,Francesca,,East,40.72892,-74.15698,Entire home/apt,318,3,146,2023-12-26,2.10,2,0,21,
24282621,Home in Newark · ★4.31 · 1 bedroom · 1 bed · 1 shared bath,183150569,Barrington,,South,40.70744,-74.20513,Private room,39,25,46,2023-12-03,0.67,3,303,1,
24919557,Rental unit in Newark · ★4.87 · 1 bedroom · 2 beds · 1 bath,148995953,Carolyn,,Central,40.7277,-74.17468,Entire home/apt,96,21,39,2023-09-05,0.57,3,323,2,
25262069,Townhouse in Newark · ★4.94 · 2 bedrooms · 2 beds · 1.5 baths,190853040,Shariefah & Eve,,Central,40.75211,-74.16862,Private room,103,2,17,2023-12-10,0.28,1,258,2,
25337354,Home in Newark · ★4.98 · 1 bedroom · 1 bed · 1 private bath,116284956,Louis,,South,40.70226,-74.21027,Private room,65,1,203,2023-12-18,3.08,2,175,51,
25488630,Rental unit in Newark · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,41315276,Enyonam,,East,40.72727,-74.16217,Private room,45,5,35,2022-11-17,0.52,1,178,0,
25613205,Home in Newark · ★4.52 · 1 bedroom · 1 bed · 2 shared baths,120596934,Patrick,,South,40.71071,-74.2012,Private room,40,1,31,2023-12-28,0.46,4,229,13,
26221596,Rental unit in Newark · ★4.22 · 1 bedroom · 1 bed · 1 shared bath,87408813,Mbah,,South,40.72028,-74.1986,Private room,199,1,18,2019-04-30,0.27,1,179,0,
26337727,Home in Newark · ★4.77 · 1 bedroom · 1 bed · 1 shared bath,133717720,Alexandra,,South,40.71065,-74.19904,Private room,55,1,627,2023-12-14,9.34,3,0,119,
26958889,Home in Newark · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,199753692,Tatiana,,East,40.7319,-74.14467,Private room,35,3,15,2018-12-09,0.23,1,52,0,
27059207,Rental unit in Newark · ★4.38 · 1 bedroom · 1 bed · 1 bath,24815236,Mario,,West,40.74121,-74.2263,Entire home/apt,1140,7,24,2020-09-07,0.36,27,274,0,
27082812,Loft in Newark · 2 bedrooms · 2 beds · 1.5 baths,53152294,Alex,,East,40.7291,-74.1614,Entire home/apt,5000,1,2,2018-09-15,0.03,1,179,0,
27262539,Home in Newark · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,180889791,Cecilia,,South,40.697754845258245,-74.19901333066258,Private room,95,1,309,2023-09-12,4.67,4,0,37,
27263872,Home in Newark · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,180889791,Cecilia,,South,40.6977615909029,-74.19899751927704,Private room,95,1,292,2023-05-17,4.42,4,329,7,
27521775,Rental unit in Newark · ★5.0 · 1 bedroom · 1 bed · 1 bath,174276168,Francesca,,East,40.73063,-74.15567,Entire home/apt,155,3,3,2023-12-10,0.05,2,259,1,
27703866,Home in Newark · 1 bedroom · 1 bed · 1 shared bath,209146367,David,,West,40.73666,-74.20919,Private room,80,1,2,2018-11-11,0.03,1,365,0,
28083085,Townhouse in Newark · ★4.65 · Studio · 1 bed · 1 private bath,6778177,Raymond,,Central,40.74536,-74.17196,Private room,95,3,26,2023-08-19,0.40,5,268,4,
28108689,Townhouse in Newark · ★4.78 · Studio · 1 bed · 1 private bath,6778177,Raymond,,Central,40.74539,-74.1738,Private room,57,3,94,2023-12-01,1.46,5,330,23,
28740262,Home in Newark · ★4.76 · 1 bedroom · 1 bed · 1 private bath,212693162,Kingsley,,Central,40.74608,-74.18763,Private room,90,1,131,2023-12-10,2.04,36,176,2,
28743236,Home in Newark · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,212693162,Kingsley,,Central,40.74692,-74.18764,Private room,95,1,173,2023-09-23,2.70,36,179,2,
28880784,Townhouse in Newark · ★4.72 · Studio · 1 bed · 1 private bath,6778177,Raymond,,Central,40.74457,-74.17409,Private room,75,3,29,2023-12-08,0.46,5,270,9,
29015677,Rental unit in Newark · Studio · 1 bed · 1 private bath,218503541,Aanei,,North,40.76803,-74.1622,Private room,70,1,0,,,1,177,0,
